uri,title,year
https://hdl.handle.net/11245/3.1889,Platte grond van het St. Pieters Gasthuis : benevens alle de daaraan behoorende huizen en tuinen /,1786
https://hdl.handle.net/11245/3.1894,Tabula Ducatus Brabantiae : continens Marchionatum sacri Imperij et Dominium Mechliniense /,1622
https://hdl.handle.net/11245/3.1898,'t Graefschap Holland /,1661
https://hdl.handle.net/11245/3.1902,Lugdunum Batavorum = Leyden in Hollant.,1613
https://hdl.handle.net/11245/3.1905,Hollandiae Cattorum regionis typus.,1609
https://hdl.handle.net/11245/3.1908,"Afbeeldinge van de Maes van de stadt Rotterdam tot in zee, met de aengelege steden, plaetsen, sanden, drooghten en goersen, soo als die tegenwoordigh bevaren wert /",1740
https://hdl.handle.net/11245/3.191,Haerlem /,1628
https://hdl.handle.net/11245/3.1927,Gvinea,1662
https://hdl.handle.net/11245/3.1938,"Beemsterlants caerte met zĳne dycken, ringslooten, wegen, wateringen, polders, poldercaden, molens en molentochten : item omleggende plaetsen, landen en andere eygenschappen, soo als de selve tegenwoordich gheleghen is : droochgemalen met XL molens : gecavelt ende den bedyckers en eygenaars toegeeygendt inden Iare M.DC.XII op den 30 Iulĳ",1658
https://hdl.handle.net/11245/3.1955,Amsterdam.,1867
https://hdl.handle.net/11245/3.1969,'T Hooghe Heymraedtschap vanden Lande van Woerden.,1739
https://hdl.handle.net/11245/3.197,"Totius orbis cogniti universalis descriptio : cui etiam eandem orbis terrae delineationem, duorum circulorum capitate, huius descriptinonis mundi longitudinem documento admirantibus, adiecimus, A° M.D.L.xxxix /",1589
https://hdl.handle.net/11245/3.1975,"Nova Galliae descriptio multis in locis de integro emendata, simulque effigies Principum, praecipuas Gallorum urbes ac habitus exhibens /",1607
https://hdl.handle.net/11245/3.1977,Pascaarte van alle de zè-custen van Europa /,1625
https://hdl.handle.net/11245/3.2001,Nova et accurata comitatus Zelandiae tabula /,1750
https://hdl.handle.net/11245/3.2005,Africa.,1700
https://hdl.handle.net/11245/3.2006,Daniae regni typus,1608
https://hdl.handle.net/11245/3.2007,Zvtphania comitatvs.,1631
https://hdl.handle.net/11245/3.2015,"Effigies ampli Regni auriferi Guineae in Africa siti : extensum inde ab insulis Atlanticis, vulgo dictis, de Cabo Verde: ad flumen Benin usqe, ad cujus ripam sita est Regia urbs et magna Benin, atque inde ad promontorium Lopi Gonsalvi, delineata per S. Rovelascum, et politioribus lineamentis figurata per Ludovicum Texeram, protocosmographum Regis Hispaniarum, eodem anno editus est liber, amplam harum regionum descriptionem continens, per P.D.M. /",1650
https://hdl.handle.net/11245/3.202,"Nieuwe Perfecte Caert Vertoonende de Zee kust van Oost vrieslant af tot Havre de Grace in Vranckryck : voors de XVII Nederlantse Provincie, met een groot Gedeelte van Vranckryck tot Boven Paris, Mede heel Munsterlant en een gedeelte van Duytslant tot Franckfurt ...",1673
https://hdl.handle.net/11245/3.2027,Dvcatvs Limbvrgvm /,1634
